ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,datetime,temporada,elo_mandante_antes,elo_visitante_antes
54,5,20/04/2003,16:00,Criciuma,Guarani,,,,,Criciuma, Heriberto Hulse,1,0,SC,SP,2003-04-20 16:00:00,2003,1498.6274836449331,1500.0658068082491
55,5,20/04/2003,16:00,Juventude,Vitoria,,,,,-, Alfredo Jaconi,1,1,RS,BA,2003-04-20 16:00:00,2003,1482.597626351594,1513.8889821846344
56,5,20/04/2003,16:00,Fortaleza,Athletico-PR,,,,,Fortaleza, Presidente Vargas,1,0,CE,PR,2003-04-20 16:00:00,2003,1483.3605268470906,1483.9336707771706
57,5,20/04/2003,16:00,Ponte Preta,Paysandu,,,,,-, Moisés Lucarelli,4,4,SP,PA,2003-04-20 16:00:00,2003,1499.9337423890202,1484.0322782595129
59,5,20/04/2003,18:00,Fluminense,Parana,,,,,-, Maracanã,0,0,RJ,PR,2003-04-20 18:00:00,2003,1488.9241532532749,1515.171671866689
58,5,20/04/2003,18:00,Cruzeiro,Goias,,,,,Cruzeiro, Mineirão,4,1,MG,GO,2003-04-20 18:00:00,2003,1528.3862768878114,1468.828328133311
60,5,21/04/2003,20:30,Coritiba,Figueirense,,,,,Coritiba, Couto Pereira,1,0,PR,SC,2003-04-21 20:30:00,2003,1454.9144190820782,1482.6260001985333
61,6,26/04/2003,16:00,Atletico-MG,Coritiba,,,,,Coritiba, Mineirão,1,2,MG,PR,2003-04-26 16:00:00,2003,1559.1403757534326,1472.1878852233265
62,6,26/04/2003,16:00,Parana,Bahia,,,,,Parana, Pinheirão,3,1,PR,BA,2003-04-26 16:00:00,2003,1513.9652232654112,1473.5612194269388
63,6,26/04/2003,16:00,Vitoria,Internacional,,,,,Internacional, Barradão,0,3,BA,RS,2003-04-26 16:00:00,2003,1512.4518456639748,1527.2701798000512
64,6,26/04/2003,18:00,Guarani,Cruzeiro,,,,,-, Brinco de Ouro,1,1,SP,MG,2003-04-26 18:00:00,2003,1483.9995699571462,1541.670085425402
69,6,27/04/2003,16:00,Gremio,Fluminense,,,,,Fluminense, Olímpico,0,1,RS,RJ,2003-04-27 16:00:00,2003,1517.9743426013927,1490.1306018545527
70,6,27/04/2003,16:00,Athletico-PR,Criciuma,,,,,Athletico-PR, Arena da Baixada,4,2,PR,SC,2003-04-27 16:00:00,2003,1467.9072765477222,1514.6937204960361
68,6,27/04/2003,16:00,Santos,Fortaleza,,,,,Santos, Vila Belmiro,4,0,SP,CE,2003-04-27 16:00:00,2003,1518.7726472105735,1499.386921076539
